lambda,theta
0.27918093,0.59734352
0.24195898,0.86894776
0.40669815,0.78608113
0.32629331,0.65286493
0.3542082,0.59854421
0.37443436,0.64184102
0.31196314,0.91936769
0.34878143,0.83811605
0.22817451,0.70954811
0.3721174,0.88235556
0.33253866,0.53205598
0.36153837,0.92103844
0.17696507,0.48751147
0.21728663,0.54050875
0.2427374,0.75666935
0.37597953,0.41129729
0.36496123,0.71239138
0.26371328,0.79738215
0.34357827,0.41595894
0.45464246,0.56515857
0.34131123,0.45444746
0.50063399,0.52375371
0.24175825,0.64602964
0.53527578,0.69575024
0.30187127,0.49014993
0.33427952,0.79187156
0.21891645,0.7618925
0.38589893,0.53585429
0.38008842,0.4879479
0.36878595,0.3188659
0.3461711,0.80270734
0.48061946,0.62010615
0.22923584,0.66246202
0.22537603,0.70455986
0.40175165,0.56515988
0.33613053,0.53520914
0.28267882,0.80419503
0.38621179,0.43544985
0.36851424,0.60178693
0.36117236,0.63210713
0.30821188,0.50912046
0.50637518,0.53656689
0.29506976,0.72322057
0.35523096,0.57121546
0.39235575,0.64382182
0.31603555,0.53981695
0.3355858,0.71469847
0.27364605,0.50180064
0.36198466,0.86195439
0.2712194,0.5141106
0.29425807,0.80711284
0.39522635,0.74416711
0.3232154,0.71765963
0.25395401,0.5801659
0.51924866,0.6765473
0.46405539,0.83213792
0.26782654,0.54667186
0.36959143,0.84744169
0.50552892,0.27365555
0.40747867,0.39382178
0.37985336,0.66331226
0.38534976,0.50738541
0.38769327,0.4402888
0.22389504,0.93985454
0.3234655,0.66630773
0.42016416,0.84799284
0.53255795,0.54440019
0.30875681,0.66323432
0.33385405,0.56730049
0.35640134,0.75032487
0.33728274,0.43211677
0.38527671,0.47951817
0.32328254,0.72157806
0.40572817,0.51584167
0.32235684,0.65004796
0.35103768,0.54262447
0.33462102,0.51136335
0.6383817,0.73271695
0.2917909,0.97157179
0.39325234,0.37132004
0.3900441,0.65129439
0.27121597,0.67085767
0.31763697,0.80074162
0.37008217,0.82771663
0.53761598,0.704544
0.2115955,0.81044528
0.21224462,0.88583694
0.22124608,0.75092992
0.48448146,0.40813552
0.51294159,0.39707902
0.2392319,0.82760011
0.32794645,0.72300618
0.37851271,0.38643932
0.40315976,0.38536977
0.2843857,0.71987334
0.30661392,0.52178901
0.29948442,0.60782862
0.22273859,0.46928233
0.36942518,0.66995059
0.22601832,0.55858296
0.24410111,0.82199954
0.48508462,0.56181508
0.35949538,0.81321247
0.27183701,0.54956369
0.27538027,0.55267765
0.3048019,0.66580699
0.32451971,0.75395804
0.32436052,0.69766262
0.34227741,0.80499535
0.27429829,0.58634998
0.27198267,0.74227999
0.28012409,0.82781582
0.34731661,0.75034529
0.36571259,0.54040891
0.33660657,0.71468887
0.38899134,0.50118751
0.41858474,0.51971241
0.46183609,0.67941624
0.27850147,0.774875
0.43306632,0.52079442
0.25749837,0.68888225
0.29332991,0.69557044
0.23624551,0.75512462
0.51182031,0.61583063
0.36751439,0.47310515
0.43770226,0.82429408
0.31840706,0.60461529
0.33943846,0.63612128
0.37095556,0.61854829
0.37826162,0.53005429
0.38913129,0.67502398
0.30669782,0.38882124
0.28971649,0.54480139
0.37795593,0.54016033
0.25082494,0.82564938
0.3582722,0.45604338
0.33208479,0.84867611
0.35619959,0.85414018
0.32239998,0.76936677
0.48357093,0.72733638
0.24700526,0.56747017
0.27892064,0.81969541
0.25443609,0.84267427
0.21078766,0.62857687
0.25997519,0.53646932
0.44527542,0.5995589
0.4747224,0.46759322
0.42263862,0.6121526
0.3607717,0.60208238
0.4171953,0.49709409
0.28858835,0.75150573
0.28047218,0.69699848
0.252384,0.90511463
0.30618827,0.88913083
0.29066832,0.70803654
0.28634143,0.74409369
0.24601773,0.82211245
0.37911573,0.73394074
0.35371081,0.52705266
0.30250721,0.87758809
0.34340707,0.86633888
0.272117,0.87639573
0.32671242,0.67186848
0.24992936,0.75986912
0.31419607,0.71722439
0.21227197,0.7895179
0.29231127,0.90123278
0.51753853,0.33058083
0.40732569,0.5411847
0.24971561,0.71886851
0.33888974,0.63709083
0.36965287,0.42462265
0.2657225,0.52849947
0.36555406,0.79983481
0.49084234,0.22499565
0.39040095,0.76380837
0.39170078,0.85544428
0.29245775,0.6569192
0.41395342,0.69964295
0.45423513,0.68807334
0.26201015,0.53185883
0.49181409,0.91186872
0.51931193,0.73411213
0.31626305,0.55278707
0.33303539,0.31328111
0.35993351,0.45838398
0.32838718,0.32762399
0.43592502,0.85180877
0.38512706,0.380644
0.29655405,0.80627269
0.30555298,0.77077766
0.35799224,0.37315722
0.46333383,0.48218538
0.24234768,0.61991717
0.29735824,0.67185288
0.32654341,0.72742298
0.33799369,0.75706727
0.42758968,0.61930241
0.30921393,0.63216318
0.30191872,0.83185406
0.27709561,0.84645041
0.40359716,0.87094868
0.37857972,0.92270186
0.33619711,0.52428876
0.35178049,0.84090339
0.33620485,0.9559219
0.36448607,0.66353734
0.23182924,0.60657926
0.32449627,0.66079081
0.38821898,0.55730388
0.25856405,0.85145144
0.36981428,0.52445413
0.41582447,0.57639774
0.29282327,0.72176954
0.33666412,0.73232426
0.40944249,0.5443044
0.40401165,0.68556854
